timestamp,conversation_id,conversation_type,combination_id,combination_name,status,failure_reason,node_count,node_score,keyword_overlap,max_depth,depth_score,total_score,elapsed_time
2025-11-08 04:51:39,conv_000,learning_short,comb_01,simple_hierarchical,success,,23.0,0.804,0.841,4.0,0.8,80.51,12.95
2025-11-08 04:51:44,conv_000,learning_short,comb_02,simple_force,failed,validation_error,,,,,,,5.671117368334277
2025-11-08 04:51:52,conv_000,learning_short,comb_03,simple_radial,success,,32.0,0.419,0.665,4.0,0.89,68.4,4.84
2025-11-08 04:52:22,conv_000,learning_short,comb_04,detailed_hierarchical,success,,28.0,0.967,0.725,2.0,0.852,81.93,9.0
2025-11-08 04:52:21,conv_000,learning_short,comb_05,detailed_force,success,,7.0,0.409,0.684,6.0,0.584,67.35,8.63
2025-11-08 04:52:08,conv_000,learning_short,comb_06,detailed_radial,success,,13.0,0.973,0.775,3.0,0.819,79.57,7.65
2025-11-08 04:52:49,conv_000,learning_short,comb_07,strict_hierarchical,success,,23.0,0.851,0.663,3.0,0.806,77.28,11.39
2025-11-08 04:53:17,conv_000,learning_short,comb_08,strict_force,success,,14.0,0.986,0.86,6.0,0.532,85.05,10.31
2025-11-08 04:52:36,conv_000,learning_short,comb_09,strict_timeline,success,,20.0,0.93,0.65,6.0,0.591,76.51,9.02
2025-11-08 04:53:26,conv_000,learning_short,comb_10,hybrid_s1d2_hier,success,,15.0,0.851,0.759,5.0,0.899,84.4,8.92
2025-11-08 04:52:57,conv_000,learning_short,comb_11,hybrid_s1d2_force,success,,20.0,0.829,0.743,4.0,0.848,78.42,9.55
2025-11-08 04:53:54,conv_000,learning_short,comb_12,hybrid_d1s2_radial,success,,18.0,0.837,0.826,4.0,0.865,96.3,9.61
2025-11-08 04:54:04,conv_000,learning_short,comb_13,hybrid_str1d2_radial,success,,21.0,0.935,0.943,3.0,0.985,94.57,12.3
2025-11-08 04:54:30,conv_000,learning_short,comb_14,hybrid_d1str2_timeline,success,,20.0,0.868,0.749,3.0,0.971,81.44,9.9
2025-11-08 04:54:53,conv_000,learning_short,comb_15,hybrid_all_hier,success,,6.0,0.479,0.819,4.0,0.942,78.06,9.83
2025-11-08 04:54:31,conv_001,learning_short,comb_01,simple_hierarchical,success,,12.0,0.995,0.684,4.0,0.981,73.67,4.7
2025-11-08 04:53:55,conv_001,learning_short,comb_02,simple_force,success,,20.0,0.809,0.811,4.0,0.977,77.29,6.46
2025-11-08 04:54:38,conv_001,learning_short,comb_03,simple_radial,success,,16.0,0.875,0.631,4.0,0.939,67.91,4.37
2025-11-08 04:53:26,conv_001,learning_short,comb_04,detailed_hierarchical,success,,25.0,0.859,0.72,3.0,0.851,71.12,7.67
2025-11-08 04:53:27,conv_001,learning_short,comb_05,detailed_force,success,,14.0,0.996,0.895,4.0,0.85,87.94,6.9
2025-11-08 04:54:20,conv_001,learning_short,comb_06,detailed_radial,success,,18.0,0.839,0.779,3.0,0.927,83.6,9.15
2025-11-08 04:54:32,conv_001,learning_short,comb_07,strict_hierarchical,success,,14.0,0.835,0.755,3.0,0.848,85.68,11.28
2025-11-08 04:54:09,conv_001,learning_short,comb_08,strict_force,success,,18.0,0.824,0.66,4.0,0.819,71.86,9.92
2025-11-08 04:55:21,conv_001,learning_short,comb_09,strict_timeline,success,,25.0,0.989,0.878,4.0,0.915,84.47,11.77
2025-11-08 04:56:13,conv_001,learning_short,comb_10,hybrid_s1d2_hier,success,,20.0,0.864,0.853,3.0,0.852,83.74,8.69
2025-11-08 04:57:38,conv_001,learning_short,comb_11,hybrid_s1d2_force,success,,30.0,0.946,0.753,2.0,0.955,85.97,10.48
2025-11-08 04:57:51,conv_001,learning_short,comb_12,hybrid_d1s2_radial,success,,25.0,0.965,0.773,3.0,0.878,84.55,8.78
2025-11-08 04:58:11,conv_001,learning_short,comb_13,hybrid_str1d2_radial,success,,26.0,0.958,0.87,4.0,0.899,86.27,9.22
2025-11-08 04:56:33,conv_001,learning_short,comb_14,hybrid_d1str2_timeline,success,,27.0,0.82,0.743,5.0,0.815,85.71,10.71
2025-11-08 04:54:29,conv_001,learning_short,comb_15,hybrid_all_hier,success,,13.0,0.955,0.733,3.0,0.822,76.23,9.35
